Name,Rating,Type,Type1,Hours,About,suggest_duration,ImageURL,Address,Guide
Waimea Bay,4.5,NULL,NULL,NULL,"Waimea Bay is the deepest bay on Oahu’s North Shore and the birthplace of big-wave surfing, especially in winter. Between November to February, waves reach up to 40 feet in height, challenging even the most expert surfers. Even if you're not a fan of riding the waves, watching these pro surfers in action will get your heart racing too.

Otherwise, visit during summer for the soft sand, arresting seaside views, and calmer waters—perfect for swimming, snorkeling, diving and even cliff-jumping. The wave conditions here fluctuate quickly, so look out for the colored flags before diving in. 

– Tripadvisor",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/79/07/da/20171030-132753-largejpg.jpg?w=100&h=-1&s=1,"Kamehameha Hwy, Haleiwa, Oahu, HI 96712-1304",NULL
Smoky Mountain Alpine Coaster,4.5,NULL,NULL,10:00 AM - 12:00 AM,"Come Ride the Hill and Feel the Thrill! The Smoky Mountain Alpine Coaster is the LONGEST DOWNHILL TRACK IN THE UNITED STATES, with over 1 mile of track and the ORIGINAL ALPINE COASTER in the Smokies! So if you are looking for an unforgettable experience on your vacation here in the Great Smoky Mountains, this is a must do! The carts are designed to carry one or two visitors in comfort but can be handled easily by one alone. The riders are in control of the velocity (up to 27 mph) and this gives them a unique hands-on experience! Rain, we have rain shields, snow or sunshine, no problem, as the excellent braking effect is unchanged so you can ride year-round! Age restrictions, weight restrictions may apply, parents may need to ride with small children. Our track has colored LED lights so you can experience our awesome Night Rides! The great ""Uber Ride"" is HERE!",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/41/83/86/photo0jpg.jpg?w=100&h=-1&s=1,"867 Wears Valley Rd, Pigeon Forge, TN 37863-7703",NULL
Sunken Gardens,4.5,NULL,NULL,6:00 AM - 11:00 PM,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/fc/59/53/16179596-largejpg.jpg?w=100&h=-1&s=1,"27th & Capitol Pkwy, Lincoln, NE 68502",NULL
Bryce Canyon National Park,5.0,NULL,NULL,NULL,,More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/09/a5/fe/bryce-canyon-np.jpg?w=100&h=-1&s=1,NULL,NULL
Holmes Beach,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/ff/bb/6e/photo2jpg.jpg?w=100&h=-1&s=1,"6317 Gulf Dr North Beach Village, Anna Maria Island, FL 34217-1663",NULL
Husky Homestead,5.0,NULL,NULL,"10:00 AM - 11:30 AM, 6:00 PM - 7:30 PM","Enjoy a warm welcome and experience a true Alaskan lifestyle at Husky Homestead—home of Iditarod Champion, Jeff King. Husky Homestead is widely heralded as an authentic look into rural lifestyles based on 40+ years of Alaskan adventures: from freight hauling on Denali to crossing the finish line in Nome, Alaska with a champion Iditarod team. See puppies upon arrival and share an intimate view of the Alaskan Husky as the team explodes from the dog yard and witness their beauty in motion as they run on our treadmill before hitting the trail for a training run. Get a behind-the-scenes look at what goes into creating a championship team and carving a life in Alaska's Interior. Hear compelling stories from the trail and see actual racing sleds, arctic survival gear and equipment used to traverse 1100 miles of Alaska's most rugged terrain. Dress in extra layers, wear comfortable shoes, bring bug repellent - and your camera! Our 2021 season will run from June 1 - August 31.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5a/ec/a7/snuggle-puppies-on-arrival.jpg?w=100&h=-1&s=1,"Mile 238.7 Parks Hwy, Denali National Park and Preserve, AK 99755",NULL
Best Friends Animal Sanctuary,5.0,NULL,NULL,NULL,"Best Friends Animal Society is the only national animal welfare organization focused exclusively on ending the killing of dogs and cats in America's shelters. An authority and leader in the no-kill movement, Best Friends runs the nation's largest no-kill sanctuary for companion animals, as well as lifesaving programs in partnership with rescue groups and shelters across the country. Since its founding in 1984, Best Friends has helped reduce the number of animals killed in shelters nationwide from 17 million per year to about 4 million. That means there are still over 9,000 dogs and cats killed in shelters each day. And we will not be done until that number is zero. Best Friends has the knowledge, technical expertise and on-the-ground network to end the killing and Save Them All(R).",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/72/77/63/a-view-from-one-of-the.jpg?w=100&h=-1&s=1,"5001 Angel Canyon Rd, Kanab, UT 84741-5000",NULL
Ventura Pier and Promenade,4.0,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/08/08/59/20170719-160913-largejpg.jpg?w=100&h=-1&s=1,"750 Harbor Boulevard, Ventura, CA 93001",NULL
Kapalua Coastal Trail,4.5,Nature & Wildlife Areas , Hiking Trails,NULL,"A two-mile walk along Maui's northwest coast, the trail begins and ends on a beach. In between, you'll see spactacular oceanfront and bountiful greenery on the dramatic coastline.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/70/d1/0f/photo1jpg.jpg?w=100&h=-1&s=1,"99 Coconut Grove Ln, Lahaina, Maui, HI 96761-8737",NULL
Trefethen Family Vineyards,4.5,NULL,NULL,10:00 AM - 4:30 PM,"One of Napa Valley’s pioneering wineries, Trefethen Family Vineyards crafts distinguished estate grown wines that express the unique spirit of their land, vines, and people. The dedication of the Trefethen family is manifest in every aspect of the operation, from the soil to the table, including sustainable farming, thoughtful winemaking, and gracious hospitality.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/cc/b7/56/trefethen-family-vineyards.jpg?w=100&h=-1&s=1,"1160 Oak Knoll Ave, Napa, CA 94558-1303",NULL
Cameron Park,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/e0/d2/79/cameron-park.jpg?w=100&h=-1&s=1,"Emmons Cliff Drive, Waco, TX 76708",NULL
Jamestown Settlement,4.5,Historic Sites , Ships,9:00 AM - 5:00 PM,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ba/c9/b7/replica-of-english-settler.jpg?w=100&h=-1&s=1,"2110 Jamestown Rd Route 31 S, Williamsburg, VA 23185",NULL
Fort Wayne Children's Zoo,5.0,NULL,NULL,NULL,"#1 Summer ""Gotta-Do"" Attraction in a contest sponsored by the Indiana Office of Tourism & Development. The Fort Wayne Children's Zoo is operated by the non-profit Fort Wayne Zoological Society under a cooperative agreement with the Fort Wayne Parks and Recreations Department. The zoo receives no tax funding for operations and operates solely on earned revenue and donations. Our Mission: Connecting kids and animals, Strengthening families, Inspiring people to care.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/bd/79/b2/come-visit-our-tigers.jpg?w=100&h=-1&s=1,"3411 Sherman Blvd, Fort Wayne, IN 46808-1594",NULL
Grapevine Canyon,4.5,NULL,NULL,NULL,"Visitors come to this canyon in the Nevada desert to view its Indian petroglyphs, some of the first known to man. Truly an amazing site, many of the etchings go 40 to 50 feet below the sand level and are hundreds of years old. A few of the more common ones have been translated but the rest remain a mystery.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/71/f7/c9/photo0jpg.jpg?w=100&h=-1&s=1,NULL,NULL
Lake Mead National Recreation Area,4.5,NULL,NULL,12:00 AM - 11:59 PM,"Swim, boat, hike, cycle, camp and fish at America’s first and largest national recreation area. With striking landscapes and brilliant blue waters, this year-round playground spreads across 1.5 million acres of mountains, canyons, valleys and two vast lakes. See the Hoover Dam from the waters of Lake Mead or Lake Mohave, or find solitude in one of the park's nine wilderness areas. Approximately 30 miles from Las Vegas. Entrance fees charged.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/74/16/26/lake-mead-national-recreation.jpg?w=100&h=-1&s=1,"10 Lakeshore Rd, NV 89005",NULL
Oregon Coast Highway 101,5.0,NULL,NULL,NULL,Scenic driving route along Oregon's Pacific coast and through the mountains.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/6b/98/31/20180831-154838-largejpg.jpg?w=100&h=-1&s=1,NULL,NULL
Everglades Alligator Farm,4.0,NULL,NULL,9:00 AM - 5:30 PM,Get up close and personal with thousands of alligators at this alligator farm.,1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/7b/0b/33/photo0jpg.jpg?w=100&h=-1&s=1,"40351 SW 192 Ave, Homestead, FL 33034-6901",NULL
Marie Selby Botanical Gardens,4.5,Historic Walking Areas , Gardens,10:00 AM - 5:00 PM,"Bayfront sanctuaries connecting people with air plants of the world, native nature, and our regional history.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/67/ef/e3/20190415-132653-largejpg.jpg?w=100&h=-1&s=1,"1534 Mound St, Sarasota, FL 34236-7810",NULL
Camelback Mountain,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/20/2d/83/the-view.jpg?w=100&h=-1&s=1,,NULL
The Wharf,4.0,NULL,NULL,10:00 AM - 6:00 PM,"The Wharf is a vibrant entertainment district with hundreds of fun events throughout the year. Located on Portage Creek, this sprawling complex features over 60 unique stores, bars and restaurants. Hop on The Wharf Express Train for a ride down Main Street, and hop off to shop and play mini-golf or laser tag. You can also ride the Ferris Wheel, or even go on a dolphin cruise. At night, don't forget to catch the daily spectacular light show.

You might want to check out the Wharf Marina, which is home to some of the largest in-water boat shows and saltwater fishing tournaments on the Gulf. – Tripadvisor",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/18/54/c1/the-wharf-is-the-gulf.jpg?w=100&h=-1&s=1,"23101 Canal Rd, Orange Beach, AL 36561-5829",NULL
Williamsburg,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/ef/4d/57/photo2jpg.jpg?w=100&h=-1&s=1,,"How to get there
Bedford Ave • 3 min walk
Metropolitan Ave • 9 min walk"
Grand Teton,5.0,NULL,NULL,NULL,Tallest mountain in the Grand Teton Range.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/cc/c9/fc/grand-teton.jpg?w=100&h=-1&s=1,NULL,NULL
Erie Canal Museum,4.5,NULL,NULL,10:00 AM - 4:00 PM,"The Erie Canal Museum houses the National Register 1850 Syracuse Weighlock Building, the only structure of its kind in the United States. The unique building where canal cargo was once weighed is the Museum's most important artifact and a centerpiece for interpretation of Erie Canal history. The Museum shows visitors 200 years of Erie Canal history through interactive displays, hands-on exhibits, a full-size replica canal boat, narrative audio tracks and original artifacts. The gift shop offers historic maps, books for children and adults, T-shirts, Canal-inspired toys and more. Admission is by reservation with a suggested $10 donation per party. Hours are Monday-Saturday 10:00 a.m.-3:00 p.m. with the exception of major holidays. Free parking in Visitor Center spaces in lot on Erie Boulevard East.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/d6/4c/c9/erie-canal-museum.jpg?w=100&h=-1&s=1,"318 Erie Blvd E, Syracuse, NY 13202-1106",NULL
Cape Cod Rail Trail,4.5,NULL,NULL,NULL,"This bike path runs 25 miles, from Dennis to Wellfleet.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/6e/d5/5d/cranberry-bog.jpg?w=100&h=-1&s=1,NULL,NULL
Fredericksburg and Spotsylvania National Military Park,4.5,Historic Sites , Battlefields,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/df/b6/e4/fredericksburg-and-spotsylvani.jpg?w=100&h=-1&s=1,"120 Chatham Ln, Fredericksburg, VA 22405-2508",NULL
Meow Wolf Santa Fe,4.5,NULL,NULL,10:00 AM - 10:00 PM,Unique & immersive art installations with multimedia elements and a mysterious narrative throughout.,2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/f5/f8/29/house-of-eternal-return.jpg?w=100&h=-1&s=1,"1352 Rufina Cir, Santa Fe, NM 87507-2927",NULL
Dana Point Harbor,4.5,Marinas , Piers & Boardwalks,6:00 AM - 10:00 PM,"Known as the “Dolphin & Whale Capital of the World” Dana Point Harbor offers a variety of recreational amenities, boater facilities, dockside dining, and unique shopping experiences that cater to visitors, locals and boating enthusiasts. Activities abound both in and out of the water from watching migratory gray whales that frequent the coastline to enjoying the stunning sunsets and picturesque harbor views. Discover Dana Point Harbor and set sail on a historic and unforgettable seaside adventure.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/33/99/d2/a-waterman-s-paradise.jpg?w=100&h=-1&s=1,"34624 Golden Lantern St, Dana Point, CA 92629-2908",NULL
Big Bear Lake,4.5, Hiking Trails , Ski & Snowboard Areas,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/4c/5d/5c/big-bear-lake.jpg?w=100&h=-1&s=1,"Hwys 30, 330 & 18 Corner of Division Dr. and Big Bear Blvd., CA 92315",NULL
Pittock Mansion,4.5,Points of Interest & Landmarks , Architectural Buildings,10:00 AM - 5:00 PM,"Built in 1914, Pittock Mansion was a modern home with unique architecture and the latest technology. Experience the story of Portland through the lives of one of its most influential families and get to know the pioneer spirit behind its transformation from “stumptown” to modern, industrial city.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f4/80/e4/the-bifurcated-main-staircase.jpg?w=100&h=-1&s=1,"3229 NW Pittock Dr, Portland, OR 97210-5099",NULL
Haystack Rock,5.0,Beaches , Geologic Formations,NULL,"Haystack Rock is a unique 235 feet monolith that attracts wildlife and tourists alike and is part of the Oregon Coast’s geological history, formed millions of year ago by lava flows that created many of the dramatic capes and headlands along the coast. Haystack Rock is protected under U.S. Fish and Wildlife Service as a seabird nesting colony and it is part of the Oregon Islands National Wildlife Refuge and is a State protected Marine Garden. The Rock is home to nesting seabirds in the summer and marine invertebrates all year. Tidepool seekers are beckoned by its wonders every day. The Haystack Rock Awareness Program (HRAP) is a stewardship and environmental educational program whose mission is to protect, through education, the intertidal and bird ecology of the Marine Garden and Oregon Islands National Wildlife Refuge at Haystack Rock. HRAP offers an extensive interpretive program on the beach during the spring and summer months around low tide.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/74/c2/cd/look-for-the-haystack.jpg?w=100&h=-1&s=1,"Us 101, Cannon Beach, OR 97110",NULL
Peace River Wildlife Center,4.5,Nature & Wildlife Areas , Zoos,NULL,"The Mission of the Peace River Wildlife Center is to contribute to the survival of native Florida wildlife through rescue, rehabilitation and education. The Center and our gift shop is open to the public for tours everyday from 11a – 4p and our hospital accepts wildlife intakes from 8a – 5p everyday, 7 days per week, 365 days per year including all holidays. We do not charge an admission fee but donations are greatly appreciated and needed to support our mission. Your donations and gift store purchases go directly to the care of our wildlife patients and residents. The PRWC does not receive any federal government support. The costs involved in maintaining these educational displays and to feed almost 120 permanent residents and more than 2,500 patient admissions annually is nearly $80,000 per year. All of the Peace River Wildlife Center’s expenses are met through donations, our recycling program, gift shop sales and small grants. PRWC’s mission is carried out primarily by volunteers",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/29/60/4b/photo1jpg.jpg?w=100&h=-1&s=1,"3400 Ponce de Leon Pkwy, Punta Gorda, FL 33950-6312",NULL
Blue Ridge Parkway,5.0,NULL,NULL,NULL,"This 469-mile scenic drive links Shenandoah and Great Smoky Mountains National Park, while protecting the cultural and natural features of the Blue Ridge.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/60/c9/39/photo0jpg.jpg?w=100&h=-1&s=1,NULL,NULL
Princeville Botanical Gardens,5.0,NULL,NULL,NULL,"Princeville Botanical Gardens is a family owned and operated garden paradise located in the Princeville area on the magnificent north shore of Kauai. Established by The Robertson Family with the help of their close gardening friend Michael in 2001, this 9-acre property has been transformed into a breathtaking garden with dramatic landscaping in two steep valleys. The tour includes homegrown honey and fruit samples, as well as a chocolate tasting that teaches you the history of chocolate making. You'll have fun learning about the uses and folklore of native Hawaiian plants and exotic species from around the world. RESERVATIONS REQUIRED. Visitors can experience the garden on pre-scheduled tours on Mondays, Tuesdays, Thursdays and Fridays. Tours are not recommended for children under 6 years. Moderate mobility is needed to go on our nature walk. Please be sure to call us before visiting. Thank you!",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/fe/0b/1c/luscious-creekside-rainforest.jpg?w=100&h=-1&s=1,"3840 Ahonui Pl, Princeville, Kauai, HI 96722-5530",NULL
Santana Row,4.5,NULL,NULL,10:00 AM - 10:00 PM,"Santana Row is Silicon Valley's premier outdoor destination for shopping, dining, living and working. Surrounded by landscaped gardens, parks and plazas, Santana Row features over 50 shops, 30 restaurants, the boutique Hotel Valencia and a six-screen movie theatre. Santana Row hosts a variety of events ranging from fashion shows to live music, outdoor yoga classes to the annual tree lighting ceremony. In addition to the dynamic shopping & dining options, Santana Row offers 615 luxury rental homes, 219 privately owned condos and 690,000+ square feet of Class A office space.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c8/dc/f4/a-beautiful-sunday-at.jpg?w=100&h=-1&s=1,"377 Santana Row Suite 1005, San Jose, CA 95128-2053",NULL
Old Port,4.5,NULL,NULL,12:00 AM - 11:59 PM,"The Old Port's fishing piers, cobbled streets, and historic brick buildings will transport you back in time. But the energy of the area is anything but old. It has a buzzing food scene, especially at night when locals and tourists pack into its restaurants and bars. Don't leave without having a taste of the fresh seafood in the area. Grab the ultimate lobster roll along the waterfront's Commercial Street or snag a table at any of its amazing seafood restaurants. 

From the port, you can take a ferry to explore the secluded islands in Casco Bay. 

– Tripadvisor",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/4e/1d/5b/photo0jpg.jpg?w=100&h=-1&s=1,"Commercial St, Portland, ME 04101",NULL
Tumalo Falls,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/3e/b5/fd/tumalo-falls.jpg?w=100&h=-1&s=1,NULL,NULL
Rodney Ghost Town,4.5,Historic Sites , Ghost Towns,NULL,,1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/e8/17/44/photo4jpg.jpg?w=100&h=-1&s=1,NULL,NULL
Dutch Wonderland,4.5,NULL,NULL,Closed until further notice,"With over 35 rides, attractions, and shows, Dutch Wonderland is the perfect place to spend time together as a family. Cool off in Duke's Lagoon water play area and make discoveries at Exploration Island, where dinosaurs come to life!",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/99/ff/a7/kingdom-coaster-at-dutch.jpg?w=100&h=-1&s=1,"2249 Lincoln Hwy E, Lancaster, PA 17602-1188",NULL
Hidden Valley,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/d6/1c/2c/wow.jpg?w=100&h=-1&s=1,NULL,NULL
Shawnee National Forest,4.5,Nature & Wildlife Areas , Forests,6:00 AM - 10:00 PM,,< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/3f/66/4a/more-views.jpg?w=100&h=-1&s=1,"50 Hwy 145 South Harrisbur, IL 62946",NULL
Rusack Vineyards,4.5,NULL,NULL,11:00 AM - 5:00 PM,"We are a boutique winery and vineyard, nestled among the oak-studded rolling hills of Ballard Canyon. Our mission is to create world-class, handcrafted wines that reflect our commitment to excellence and our love for this region. That commitment begins in our Estate Vineyard, which we re-planted in 2003 in order to capture the true character of Ballard Canyon, and which we meticulously farm in small lots. It extends to the winemaking process, during which we go to every possible length to achieve the delicate balance of ""elegance & power"" (Robert Parker, August 2010) for which our wines have become known around the world. Finally, it extends to our label, a Catalina tile, a family legacy symbol of our belief in the beauty of what arises from blending craft, earth, art and family.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/13/36/5f/the-deck-surrounded-by.jpg?w=100&h=-1&s=1,"1819 Ballard Canyon Rd, Solvang, CA 93463-9766",NULL
American Music Theatre,4.5,NULL,NULL,9:00 AM - 8:00 PM,"American Music Theatre is the only theatre of its kind in the country that features both touring concerts and Original Shows. This 1,600-seat theatre hosts more than 200 live performances a year – from Broadway tours to rock legends to famous comedians to today’s hottest acts. Since its debut in 1997, they’ve welcomed Grammy winners, CMA winners, Tony winners, and even Oscar winners to their stage. They’ve also featured some of the most talented musicians, vocalists, and dancers in the nation in their own Original Shows. No other theatre in the region offers a wider variety of performances, year in and year out. Take the opportunity to catch a show in the comfort of one of the most premier venues on the East Coast for live entertainment.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/bd/a1/47/beautiful.jpg?w=100&h=-1&s=1,"2425 Lincoln Hwy E, Lancaster, PA 17602-1423",NULL
Hunting Island State Park,4.5,NULL,NULL,6:00 AM - 6:00 PM,Park that is a large secluded barrier island with a historic 1859 lighthouse as its centerpiece.,More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/bb/73/a2/hunting-island-state.jpg?w=100&h=-1&s=1,"1775 Sea Island Pkwy St. Helena, Beaufort, SC 29920-4808",NULL
The Flower Fields at Carlsbad Ranch,4.5,NULL,NULL,9:00 AM - 6:00 PM,"Open in Spring from March 1st through Mothers Day. For over sixty years, Mother Nature has transformed the rolling hills of North San Diego County into one of the most spectacular and coordinated displays of natural color and beauty anywhere in the world. The nearly fifty acres of Giant Tecolote Ranunculus flowers that make up The Flower Fields at Carlsbad Ranch® in Carlsbad, California, are in bloom for approximately six to eight weeks each year – from early March through early May – literally bringing the famous fields back to life. This annual burst of color, which has become part of the area’s local heritage, also is one of nature’s official ways of announcing the arrival of spring here in Southern California.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/2b/b2/3c/incredible-colors.jpg?w=100&h=-1&s=1,"5704 Paseo Del Norte, Carlsbad, CA 92008-4435",NULL
McCormick-Stillman Railroad Park,4.5,NULL,NULL,9:00 AM - 9:00 PM,Climb aboard the miniature replica of a Colorado narrow gauge railroad to explore this park that features famous railroad cars and an antique carousel.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/88/35/cb/static-display-of-train.jpg?w=100&h=-1&s=1,"7301 E Indian Bend Rd, Scottsdale, AZ 85250-4513",NULL
Minute Maid Park,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/51/17/aa/minute-maid-moments.jpg?w=100&h=-1&s=1,"501 Crawford St, Houston, TX 77002-2113",NULL
Stephen King's House,4.5,Points of Interest & Landmarks , Architectural Buildings,NULL,"This spooky Victorian mansion in the heart of Bangor’s Whitney Park Historic District was, up until recently, the home of famed horror author Stephen King. Snap a picture in front of the iconic iron gate, adorned with spiders, bats, and even a three-headed dragon. There's even a frighteningly intricate tree sculpture that sits on the lawn.

While you can't explore the interiors of the house—it's now a nonprofit and archive of King's work—there are tours that will take you to spots in Derry that have inspired his most famous work. The beautiful, century-old homes in the quiet neighborhood are worth a quick look, too. – Tripadvisor",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d0/55/85/stephen-king-s-house.jpg?w=100&h=-1&s=1,NULL,NULL
Museum of the Everglades,4.5,NULL,NULL,9:00 AM - 4:00 PM,"Escape Naples' dazzling pace of development for a day and spend a lazy afternoon exploring the history of nearby Everglades City. Once accessible only by boat, this remote frontier trading town took an ambitious new turn in 1923 as the hub of Barron Collier's personal Southwest Florida real estate empire - with a population of fewer than twelve families. First opened in 1927 as a commercial laundry, today's Museum of the Everglades dates back to a time when construction of the famous Tamiami Trail was well underway and the tiny settlement of Everglades served as the first County seat. The museum's permanent and rotating exhibits provide visitors with an in-depth look at over 2,000 years of human history in the area and tell the story of those adventurous enough - and stubborn enough - to settle Southwest Florida's lush ""River of Grass."" Faithfully restored to its original, 1920s Collier-era appearance, the museum is listed on the National Register of Historic Places and is located 35 miles east of downtown Naples.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/d0/4b/aa/museum-of-the-everglades.jpg?w=100&h=-1&s=1,"105 West Broadway, Everglades City, FL 34139",NULL
Blue Hole Regional Park,4.5,NULL,NULL,8:00 AM - 8:00 PM,"In 2005, the City of Wimberley embarked on a mission to save the Blue Hole from the threat of residential development. After an unprecedented fundraising effort, the land was purchased by the City for use as a community park. The City of Wimberley has since developed the 126-acre park for the enjoyment of residents, visitors, and future generations. It includes much needed recreational facilities for our growing community and showcases a true gem in the Texas Hill Country. The park includes approximately 4.5 miles of trails, picnic areas, a community pavilion, playscape, basketball court, sand volleyball court, amphitheater, and the Blue Hole Swimming Area. The entire park is open to visitors within the regular operating hours, however, swimming is only allowed during the designated swimming season. The park balances the needs of the community while preserving and restoring the historic Blue Hole and surrounding ecosystems.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/34/6a/76/from-memorial-day-until.jpg?w=100&h=-1&s=1,"100 Blue Hole Ln, Wimberley, TX 78676",NULL
Masters,5.0,NULL,NULL,NULL,"Nothing quite feels like the opening of the spring season like when the worlds top professional golfers head to the prestigious Augusta National Golf Club to compete in the Masters Tournament.  As an attendee to the annual event you can watch these athletes compete against one another on arguably the most beautifully designed yet challenging gold courses in the world.  If you want to be a spectator, tickets are extremely difficult to find, however you may have more luck trying to get into the events practice rounds, which require you to enter a lottery nearly a year before the event is actually held.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/16/66/65/photo7jpg.jpg?w=100&h=-1&s=1,"2604 Washington Rd Augusta National Golf Club, Augusta, GA 30904-5902",NULL
Kelly Park,4.5,Bodies of Water , Parks,8:00 AM - 6:00 PM,Camp among deer and otter after you tube the river.,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/15/ea/8e/kelly-park.jpg?w=100&h=-1&s=1,"400 E Kelly Park Rd, Apopka, FL 32712-5356",NULL
Driftwood Beach,4.5,NULL,NULL,NULL,NULL,NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/29/3d/60/driftwood-beach.jpg?w=100&h=-1&s=1,"Beachview Drive, Jekyll Island, GA 31527",NULL
Caladesi Island State Park,4.5, Islands , Beaches,NULL,One of Florida's few remaining undisturbed barrier islands.,More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ce/33/2e/all-aloneat-the-end-of.jpg?w=100&h=-1&s=1,"1 Causeway Blvd, Dunedin, FL 34698-8561",NULL
Reptile Gardens,4.5,Nature & Wildlife Areas , Zoos,NULL,"World-renowned adventure park, Reptile Gardens is a must-see family attraction no matter what your age. We maintain the finest collection of tropical plants, colorful flowers, and exotic reptiles anywhere - we have more species and subspecies of venomous reptiles than any other zoo or park in the world!",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/9a/ba/ec/photo8jpg.jpg?w=100&h=-1&s=1,"8955 S Highway 16, Rapid City, SD 57702-6577",NULL
Pictured Rocks National Lakeshore,5.0, Nature & Wildlife Areas , Parks,9:00 AM - 4:30 PM,"Park located on the shoreline of Lake Superior encompassing cliffs, dunes, waterfalls and lakes.",NULL,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/41/be/d3/rock-formations.jpg?w=100&h=-1&s=1,"Headquarters on Sand Point Rd Between Munising and Grand Marais, Munising, MI 49862",NULL
Great Smoky Mountains Railroad,4.0,NULL,NULL,8:00 AM - 5:00 PM,"A 52-mile rail journey through valleys, inside winding tunnels and across spectacular gorges of the Great Smoky Mountains.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/d7/e2/db/great-smoky-mountain.jpg?w=100&h=-1&s=1,"226 Everett St, Bryson City, NC 28713-6405",NULL
